sintoma1,sintoma2,doenca_associada
dor no peito,aperto,Infarto agudo do miocárdio
dor no peito,falta de ar,Angina instável
dor no peito,irradiando para braço esquerdo,Síndrome coronariana aguda
palpitações,tontura,Taquiarritmia
dor ao inspirar,tosse,Embolia pulmonar
cansaço,inchaço nos tornozelos,Insuficiência cardíaca
falta de ar ao deitar,melhora ao sentar,Insuficiência cardíaca
queimação no peito,após refeição,Refluxo gastroesofágico
ansiedade,dor no peito leve,Dor torácica não cardíaca
formigamento no braço esquerdo,dor no peito,Isquemia miocárdica
suor frio,dor no peito,Infarto agudo do miocárdio
dor no peito,pressão,Infarto agudo do miocárdio
dor no peito,queimação,Refluxo gastroesofágico
dor no peito,ansiedade,Dor torácica não cardíaca
falta de ar,ansiedade,Ataque de pânico
falta de ar,súbita,Embolia pulmonar
dor no peito,náuseas,Infarto agudo do miocárdio
dor no peito,vômitos,Infarto agudo do miocárdio
dor no peito,formigamento,Isquemia miocárdica
falta de ar,inchaço nas pernas,Insuficiência cardíaca
cansaço,falta de ar,Insuficiência cardíaca
taquicardia,tontura,Taquiarritmia
batimento acelerado,tontura,Taquiarritmia
dor no peito,desconforto,Angina estável
dor leve no peito,ansiedade,Dor torácica não cardíaca
ansiedade,dor leve no peito,Dor torácica não cardíaca
dor no peito leve,ansiedade,Dor torácica não cardíaca
ganho de peso,falta de ar ao deitar,Insuficiência cardíaca
ganho de peso,melhora ao sentar,Insuficiência cardíaca
ganho de peso,dificuldade para respirar,Insuficiência cardíaca
