frase;situacao
dor no peito que nao melhora em repouso;alto risco
falta de ar grave ao deitar e inchar pernas;alto risco
falta de ar subita com dor ao inspirar;alto risco
dor no peito em aperto irradiando para o braco esquerdo;alto risco
dor no peito acompanhada de nauseas e vomitos;alto risco
falta de ar leve ao subir ladeira, melhora com descanso;baixo risco
tosse seca sem febre com mal estar;baixo risco
pressao muito alta com dor no peito;alto risco
dor leve no peito quando fico nervoso;baixo risco
sensacao de cansaço no fim do dia sem dor;baixo risco
dor muscular apos academia no lado do peito;baixo risco
dor intensa no peito com suor frio e falta de ar;alto risco
dor costal ao girar o tronco;baixo risco
palpitacoes com tontura e quase desmaio;alto risco
dor toracica com desmaio recente;alto risco
dor toracica leve que melhora com respiracao profunda;baixo risco
ansiedade com aperto no peito que passa em minutos;baixo risco
desconforto no peito apos refeicao pesada;baixo risco
gastrite com queimacao no estomago e arrotos;baixo risco
dor no peito durante exercicio fisico;alto risco
